_id,_labels,age,name,nhs_no,surname,,,,
0,:Person,,Todd,117-66-8129,Hamilton,,,,
0,:Person,,Todd,117-66-8129,Hamilton,,,,
1073,:Person,,Amanda,893-63-6176,Alexander,,,,
1073,:Person,,Amanda,893-63-6176,Alexander,,,,
284,:Person,,Carl,596-61-3861,Hayes,,,,
284,:Person,,Carl,596-61-3861,Hayes,,,,
576,:Person,,Angela,556-15-9637,Mccoy,,,,
576,:Person,,Angela,556-15-9637,Mccoy,,,,
13,:Person,,Rachel,556-65-1110,Turner,,,,
13,:Person,,Rachel,556-65-1110,Turner,,,,
910,:Person,,Phillip,884-33-9676,Perry,,,,
910,:Person,,Phillip,884-33-9676,Perry,,,,
576,:Person,,Angela,556-15-9637,Mccoy,,,,
576,:Person,,Angela,556-15-9637,Mccoy,,,,
20,:Person,,Stephen,627-79-5997,Perez,,,,
20,:Person,,Stephen,627-79-5997,Perez,,,,
881,:Person,,Jeffrey,858-54-4075,Campbell,,,,
881,:Person,,Jeffrey,858-54-4075,Campbell,,,,
468,:Person,,Bruce,576-82-7408,Baker,,,,
468,:Person,,Bruce,576-82-7408,Baker,,,,
666,:Person,,Charles,820-74-9970,Alexander,,,,
666,:Person,,Charles,820-74-9970,Alexander,,,,
27,:Person,,Antonio,664-34-9245,Washington,,,,
27,:Person,,Antonio,664-34-9245,Washington,,,,
419,:Person,,Alice,531-09-1058,Mcdonald,,,,
419,:Person,,Alice,531-09-1058,Mcdonald,,,,
327,:Person,,Ann,576-99-9244,Fox,,,,
327,:Person,,Ann,576-99-9244,Fox,,,,
509,:Person,,Annie,575-05-6519,George,,,,
509,:Person,,Annie,575-05-6519,George,,,,
479,:Person,,Rose,537-27-1654,Ortiz,,,,
479,:Person,,Rose,537-27-1654,Ortiz,,,,
1238,:Person,,Bonnie,622-53-3302,Gilbert,,,,
1238,:Person,,Bonnie,622-53-3302,Gilbert,,,,
50,:Person,,Pamela,838-11-7607,Gibson,,,,
50,:Person,,Pamela,838-11-7607,Gibson,,,,
47,:Person,,Stephanie,821-11-2735,Hughes,,,,
47,:Person,,Stephanie,821-11-2735,Hughes,,,,
1031,:Person,,Philip,272-55-4293,Shaw,,,,
1031,:Person,,Philip,272-55-4293,Shaw,,,,
1198,:Person,,Andrea,351-83-4608,Montgomery,,,,
